strategy,seed,blocks_to_h9,blocks_to_h10,max_lag,burst_end_lag,max_profile,overshoots_h11,burst_time_s,bitsq_guard,stall_20m,stall_40m,stall_60m,mean_dt,std_dt
baseline,42,10,11,11,11,11,6,8950,0,33,6,1,611,665
baseline,43,11,13,11,8,11,1,9976,0,30,6,2,608,743
baseline,44,11,12,11,10,11,1,9517,0,30,4,2,601,1073
baseline,45,11,15,11,8,11,1,10359,0,27,7,2,585,649
baseline,46,13,15,11,11,11,2,9147,0,34,6,2,615,731
baseline,47,11,12,11,9,11,2,9144,0,21,4,3,589,2039
baseline,48,10,12,11,9,11,3,9361,0,25,7,3,604,873
baseline,49,11,12,11,10,11,1,10983,0,26,7,3,611,911
baseline,50,14,15,11,8,11,1,10253,0,27,7,0,590,644
baseline,51,11,15,12,12,12,2,9813,0,24,5,1,605,629
baseline,52,10,11,11,11,11,3,10157,0,27,6,1,599,739
baseline,53,12,14,11,9,11,4,9719,0,30,5,2,593,930
baseline,54,16,24,11,10,11,1,8942,0,19,2,1,605,3066
baseline,55,11,14,11,9,11,3,9239,0,27,7,2,608,1042
baseline,56,12,14,11,10,11,2,8944,0,29,3,0,593,573
baseline,57,11,13,11,4,11,1,12209,0,28,7,1,600,656
baseline,58,11,13,11,4,11,2,12515,0,31,6,2,594,713
baseline,59,11,13,11,1,11,2,14369,0,28,6,2,601,867
baseline,60,12,14,11,9,11,1,9427,0,24,5,2,597,746
baseline,61,11,16,11,9,11,1,9580,0,33,11,1,602,779
burst,42,10,11,11,11,11,6,8950,0,33,6,1,611,665
burst,43,11,13,11,8,11,1,9976,0,30,6,2,608,743
burst,44,11,12,11,10,10,0,9213,0,30,4,1,601,1031
burst,45,11,15,11,8,11,1,10359,0,27,7,2,585,649
burst,46,13,15,11,10,11,2,8910,0,35,6,1,615,710
burst,47,11,12,11,9,11,1,9144,0,31,5,3,589,1001
burst,48,10,12,11,11,11,3,9383,0,24,7,3,604,871
burst,49,11,12,11,10,11,1,10983,0,26,7,3,611,911
burst,50,14,15,11,8,11,1,10253,0,27,7,0,590,644
burst,51,11,15,12,12,12,2,9813,0,24,5,1,605,629
burst,52,10,11,11,11,11,3,10157,0,27,6,1,599,739
burst,53,12,14,12,9,11,3,9462,0,23,6,2,593,1624
burst,54,16,24,11,10,11,1,8942,0,19,2,1,605,3066
burst,55,11,14,11,9,11,3,9239,0,27,7,2,608,1042
burst,56,12,14,11,10,11,2,8944,0,29,3,0,593,573
burst,57,11,13,11,4,11,1,12209,0,28,7,1,600,656
burst,58,11,13,11,4,11,2,12515,0,31,6,2,594,713
burst,59,11,13,11,1,11,2,14369,0,28,6,2,601,867
burst,60,12,14,11,9,11,1,9427,0,24,5,2,597,746
burst,61,11,16,11,-1,11,1,15018,0,32,9,1,602,966
dynslew,42,10,11,11,11,11,6,8950,0,33,6,1,611,665
dynslew,43,11,13,11,8,11,1,9976,0,30,6,2,608,743
dynslew,44,11,12,11,10,11,1,9517,0,30,4,2,601,1072
dynslew,45,11,15,11,8,11,1,10359,0,27,7,2,585,649
dynslew,46,13,15,11,11,11,2,9147,0,34,6,2,615,731
dynslew,47,11,12,11,9,11,2,9144,0,21,4,3,589,2039
dynslew,48,10,12,11,9,11,3,9361,0,25,7,3,604,873
dynslew,49,11,12,11,10,11,1,10983,0,26,7,3,611,911
dynslew,50,14,15,11,8,11,1,10253,0,27,7,0,590,644
dynslew,51,11,15,12,12,12,2,9813,0,24,5,1,605,629
dynslew,52,10,11,11,11,11,3,10157,0,27,6,1,599,739
dynslew,53,12,14,11,9,11,4,9719,0,30,5,2,593,930
dynslew,54,16,24,11,10,11,1,8942,0,19,2,1,605,3066
dynslew,55,11,14,11,9,11,3,9239,0,27,7,2,608,1042
dynslew,56,12,14,11,10,11,2,8944,0,29,3,0,593,573
dynslew,57,11,13,11,4,11,1,12209,0,28,7,1,600,656
dynslew,58,11,13,11,4,11,2,12515,0,32,6,2,594,713
dynslew,59,11,13,11,1,11,2,14369,0,28,6,2,601,867
dynslew,60,12,14,11,9,11,1,9427,0,24,5,2,597,746
dynslew,61,11,16,11,9,11,1,9580,0,33,11,1,602,779
