strategy,seed,mean_dt,std_dt,p95_dt,p99_dt,sawtooth,score,overshoots_h11,max_profile,verdict
baseline,42,614,630,1945,3070,0.052,399,0,10,YELLOW
baseline,43,617,695,1979,4083,0.048,601,0,9,RED
baseline,44,610,698,1885,3084,0.082,526,0,9,RED
baseline,45,617,633,1807,2976,0.068,481,0,9,YELLOW
baseline,46,611,669,1973,3199,0.074,434,0,9,YELLOW
baseline,47,612,683,2032,3400,0.068,514,0,9,RED
baseline,48,605,628,1830,3390,0.064,438,0,10,YELLOW
baseline,49,610,732,1823,3271,0.068,522,0,9,RED
baseline,50,609,830,1883,3487,0.070,541,0,9,RED
baseline,51,611,727,2077,3143,0.082,493,0,9,YELLOW
baseline,52,617,707,1897,3521,0.034,527,0,10,RED
baseline,53,613,702,1946,3155,0.076,547,0,9,RED
baseline,54,614,695,2082,3401,0.082,519,0,10,RED
baseline,55,617,887,2041,3513,0.056,580,0,9,RED
baseline,56,614,678,1995,3624,0.048,551,0,9,RED
baseline,57,616,631,1907,3174,0.040,438,0,9,YELLOW
baseline,58,613,726,1954,3113,0.054,455,0,9,RED
baseline,59,615,842,1816,3657,0.080,609,0,9,RED
baseline,60,608,628,1981,3229,0.096,362,0,9,YELLOW
baseline,61,609,689,1939,3413,0.062,465,0,9,YELLOW
burst,42,614,630,1945,3070,0.052,399,0,10,YELLOW
burst,43,617,818,1766,4083,0.046,587,0,10,RED
burst,44,610,718,1850,3501,0.076,553,0,10,RED
burst,45,617,656,1803,3079,0.072,505,0,10,RED
burst,46,611,663,1995,3002,0.082,393,0,10,YELLOW
burst,47,612,680,2032,3480,0.080,573,0,10,RED
burst,48,605,635,1827,3126,0.060,486,0,10,RED
burst,49,610,746,1821,3433,0.074,551,0,10,RED
burst,50,609,728,1903,3487,0.072,543,0,10,RED
burst,51,611,748,2065,3143,0.086,532,0,10,RED
burst,52,617,707,1897,3521,0.036,527,0,10,RED
burst,53,613,867,1817,3114,0.072,502,0,10,RED
burst,54,614,684,2073,3351,0.070,470,0,10,YELLOW
burst,55,617,1407,1825,3513,0.052,568,0,10,RED
burst,56,614,672,1989,3624,0.064,553,0,10,RED
burst,57,616,707,1900,3174,0.050,390,0,10,YELLOW
burst,58,613,676,1954,3113,0.052,467,0,10,RED
burst,59,615,1209,1705,3657,0.090,606,0,10,RED
burst,60,608,671,1844,3229,0.108,411,0,10,YELLOW
burst,61,609,706,1918,3462,0.072,513,0,10,RED
dynslew,42,614,630,1947,3068,0.064,352,0,10,YELLOW
dynslew,43,617,818,1766,4083,0.046,587,0,10,RED
dynslew,44,610,718,1851,3500,0.088,555,0,10,RED
dynslew,45,617,656,1803,3079,0.072,505,0,10,RED
dynslew,46,611,663,1995,3002,0.096,394,0,10,YELLOW
dynslew,47,612,680,2032,3480,0.080,573,0,10,RED
dynslew,48,605,635,1827,3126,0.066,486,0,10,RED
dynslew,49,610,747,1821,3433,0.080,551,0,10,RED
dynslew,50,609,728,1903,3505,0.072,545,0,10,RED
dynslew,51,611,748,2065,3143,0.098,533,0,10,RED
dynslew,52,617,707,1897,3521,0.056,529,0,10,RED
dynslew,53,613,867,1817,3114,0.078,502,0,10,RED
dynslew,54,614,684,2073,3351,0.088,472,0,10,YELLOW
dynslew,55,617,1407,1826,3510,0.058,571,0,10,RED
dynslew,56,614,669,1989,3388,0.082,505,0,10,RED
dynslew,57,616,707,1900,3174,0.056,390,0,10,YELLOW
dynslew,58,613,676,1954,3105,0.058,460,0,10,RED
dynslew,59,615,1209,1705,3657,0.096,607,0,10,RED
dynslew,60,608,671,1844,3229,0.108,411,0,10,YELLOW
dynslew,61,609,706,1950,3462,0.084,514,0,10,RED
